name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
1,29.0,8,119,163,2325,21.4,144
2,12.4,6,378,236,3010,11.0,111
3,49.3,10,326,214,5034,10.4,93
4,44.8,8,134,228,2380,19.5,77
5,17.6,9,178,124,4531,19.2,146
6,33.6,7,111,258,3714,27.8,83
7,49.7,7,102,193,2338,19.3,116
8,45.3,5,161,239,4978,32.8,88
9,13.2,9,153,56,5821,23.7,128
10,44.9,5,497,90,2071,29.6,115
11,12.8,6,456,50,5938,22.3,133
12,15.1,9,231,270,2741,13.9,109
13,51.0,5,155,109,3761,23.9,79
14,10.5,8,299,187,5471,8.2,119
15,22.5,3,412,166,6049,30.4,106
16,34.6,3,229,195,4984,19.1,92
17,43.0,10,169,116,1608,8.0,103
18,39.9,6,104,257,1524,29.2,139
19,21.5,5,455,177,4070,31.6,73
20,51.0,4,429,234,1618,17.3,113
21,11.3,5,85,199,3032,11.6,71
22,41.6,6,220,89,5399,21.0,129
23,9.5,3,279,78,5008,30.2,108
24,9.1,7,153,213,5399,11.4,82
25,53.5,5,288,191,3387,25.8,74
26,23.7,5,493,217,6037,29.1,148
27,42.7,9,502,154,2223,28.9,117
28,40.2,6,328,129,5644,21.0,75
29,10.2,10,103,185,3636,18.0,109
30,14.1,8,417,200,5133,32.4,73
31,45.4,6,113,107,4419,32.1,110
32,27.5,9,71,130,1247,32.1,85
33,41.1,10,387,228,4495,13.9,126
34,21.2,5,439,98,2559,32.6,109
35,52.1,9,217,254,5165,9.0,77
36,53.8,7,189,128,5034,16.7,128
37,53.2,8,168,274,4702,9.4,122
38,9.9,10,74,204,2394,9.6,76
39,28.1,7,508,107,2204,32.0,72
40,51.8,10,222,237,5219,19.4,142
41,53.8,4,150,98,4610,11.1,120
42,52.8,10,142,103,1232,25.3,138
43,39.0,6,516,132,6005,11.9,125
44,14.0,4,376,140,5750,10.6,95
45,40.0,10,526,128,3431,13.4,118
46,18.2,3,169,141,4506,18.1,105
47,40.3,8,520,231,3158,24.9,127
48,30.7,3,362,72,5473,16.5,91
49,21.4,10,110,130,5970,27.4,115
50,26.9,8,128,271,1246,17.4,92
51,16.6,8,455,99,4159,24.3,103
52,39.3,5,101,216,5628,24.3,85
53,18.1,3,435,178,2089,22.7,101
54,10.6,7,466,236,1676,11.3,118
55,35.3,4,517,122,3503,29.6,106
56,23.9,3,275,257,5082,14.6,141
57,10.3,8,272,227,4981,9.9,92
58,35.1,10,522,197,3796,13.6,101
59,44.9,7,308,217,4689,16.3,119
60,47.5,7,500,109,3048,19.1,124
61,16.3,7,235,270,1450,26.2,113
62,17.6,6,212,145,1646,26.1,144
63,51.5,4,214,66,5646,30.8,119
64,42.0,5,110,60,4403,27.0,83
65,30.0,4,159,144,5743,26.3,86
66,8.9,5,385,190,4680,24.8,77
67,41.6,10,73,114,6146,12.3,135
68,27.8,3,488,105,1966,10.9,72
69,30.1,8,236,277,5459,29.7,147
70,45.9,10,222,268,5615,13.4,83
71,46.8,3,235,255,3338,25.7,110
72,32.8,8,251,153,2500,27.2,123
73,39.9,9,342,165,4111,24.0,114
74,26.0,9,434,255,1995,13.2,119
75,21.4,3,495,188,2684,24.5,122
76,16.5,5,495,99,2969,32.5,77
