date,price,volume,value
23-Oct-15 11:02,11.76,34,399.84
23-Oct-15 11:01,9.68,233,2255.44
23-Oct-15 11:00,14.75,942,13894.50
23-Oct-15 10:59,12.37,271,3352.27
23-Oct-15 10:58,9.49,116,1100.84
23-Oct-15 10:57,10.05,459,4612.95
23-Oct-15 10:56,12.51,877,10971.27
23-Oct-15 10:55,14.18,148,2098.64
23-Oct-15 10:54,13.45,212,2851.40
23-Oct-15 10:53,10.08,192,1935.36
23-Oct-15 10:52,10.40,516,5366.40
23-Oct-15 10:51,12.75,449,5724.75
23-Oct-15 10:50,12.79,667,8530.93
23-Oct-15 10:49,13.79,401,5529.79
23-Oct-15 10:48,13.15,776,10204.40
23-Oct-15 10:47,11.05,56,618.80
23-Oct-15 10:46,14.77,847,12510.19
23-Oct-15 10:45,9.26,955,8843.30
23-Oct-15 10:44,9.45,942,8901.90
23-Oct-15 10:43,11.65,491,5720.15
23-Oct-15 10:42,14.99,832,12471.68
23-Oct-15 10:41,13.51,510,6890.10
23-Oct-15 10:40,10.36,366,3791.76
23-Oct-15 10:39,13.80,422,5823.60
23-Oct-15 10:38,13.24,920,12180.80
23-Oct-15 10:37,13.09,215,2814.35
23-Oct-15 10:36,10.27,367,3769.09
23-Oct-15 10:35,14.34,556,7973.04
23-Oct-15 10:34,11.38,328,3732.64
23-Oct-15 10:33,11.56,410,4739.60
23-Oct-15 10:32,14.42,533,7685.86
23-Oct-15 10:31,13.30,742,9868.60
23-Oct-15 10:30,9.21,485,4466.85
23-Oct-15 10:29,13.10,930,12183.00
23-Oct-15 10:28,12.70,215,2730.50
23-Oct-15 10:27,12.03,274,3296.22
23-Oct-15 10:26,14.68,343,5035.24
23-Oct-15 10:25,11.62,402,4671.24
23-Oct-15 10:24,14.68,836,12272.48
23-Oct-15 10:23,12.12,385,4666.20
23-Oct-15 10:22,13.13,68,892.84
23-Oct-15 10:21,14.44,343,4952.92
23-Oct-15 10:20,13.34,782,10431.88
23-Oct-15 10:19,10.60,353,3741.80
23-Oct-15 10:18,13.76,745,10251.20
23-Oct-15 10:17,14.03,62,869.86
23-Oct-15 10:16,11.03,311,3430.33
23-Oct-15 10:15,9.78,395,3863.10
23-Oct-15 10:14,9.60,475,4560.00
23-Oct-15 10:13,13.61,363,4940.43
23-Oct-15 10:12,14.30,42,600.60
23-Oct-15 10:11,14.52,574,8334.48
23-Oct-15 10:10,13.63,676,9213.88
23-Oct-15 10:09,12.37,40,494.80
23-Oct-15 10:08,13.46,666,8964.36
23-Oct-15 10:07,13.07,292,3816.44
23-Oct-15 10:06,13.37,783,10468.71
23-Oct-15 10:05,12.67,181,2293.27
23-Oct-15 10:04,14.79,441,6522.39
23-Oct-15 10:03,9.28,794,7368.32
23-Oct-15 10:02,14.09,351,4945.59
23-Oct-15 10:01,13.89,262,3639.18
23-Oct-15 10:00,9.42,888,8364.96
23-Oct-15 09:59,13.80,468,6458.40
23-Oct-15 09:58,11.65,947,11032.55
23-Oct-15 09:57,14.02,58,813.16
23-Oct-15 09:56,10.20,901,9190.20
23-Oct-15 09:55,14.96,145,2169.20
23-Oct-15 09:54,11.41,261,2978.01
23-Oct-15 09:53,14.50,329,4770.50
23-Oct-15 09:52,9.87,38,375.06
23-Oct-15 09:51,12.36,395,4882.20
23-Oct-15 09:50,13.44,996,13386.24
23-Oct-15 09:49,13.40,931,12475.40
23-Oct-15 09:48,9.34,222,2073.48
23-Oct-15 09:47,10.32,234,2414.88
23-Oct-15 09:46,9.69,374,3624.06
23-Oct-15 09:45,14.69,515,7565.35
23-Oct-15 09:44,10.53,647,6812.91
23-Oct-15 09:43,11.49,616,7077.84
23-Oct-15 09:42,10.22,432,4415.04
23-Oct-15 09:41,11.79,418,4928.22
23-Oct-15 09:40,12.53,474,5939.22
23-Oct-15 09:39,14.71,742,10914.82
23-Oct-15 09:38,13.42,729,9783.18
23-Oct-15 09:37,11.98,572,6852.56
23-Oct-15 09:36,10.59,329,3484.11
23-Oct-15 09:35,14.21,751,10671.71
23-Oct-15 09:34,10.58,36,380.88
23-Oct-15 09:33,11.47,2,22.94
23-Oct-15 09:32,12.21,406,4957.26
23-Oct-15 09:31,9.82,428,4202.96
23-Oct-15 09:30,14.67,443,6498.81
23-Oct-15 09:29,9.81,725,7112.25
23-Oct-15 09:28,14.74,966,14238.84
23-Oct-15 09:27,14.17,695,9848.15
23-Oct-15 09:26,10.97,659,7229.23
23-Oct-15 09:25,12.10,449,5432.90
23-Oct-15 09:24,9.93,639,6345.27
23-Oct-15 09:23,10.60,921,9762.60
23-Oct-15 09:22,9.90,508,5029.20
23-Oct-15 09:21,9.93,276,2740.68
23-Oct-15 09:20,9.78,919,8987.82
23-Oct-15 09:19,14.00,216,3024.00
23-Oct-15 09:18,11.58,432,5002.56
23-Oct-15 09:17,9.90,396,3920.40
23-Oct-15 09:16,14.42,72,1038.24
23-Oct-15 09:15,14.03,530,7435.90
23-Oct-15 09:14,11.72,590,6914.80
23-Oct-15 09:13,13.43,597,8017.71
23-Oct-15 09:12,10.66,625,6662.50
23-Oct-15 09:11,9.63,558,5373.54
23-Oct-15 09:10,14.78,159,2350.02
23-Oct-15 09:09,13.39,157,2102.23
23-Oct-15 09:08,14.52,476,6911.52
23-Oct-15 09:07,14.32,636,9107.52
23-Oct-15 09:06,14.57,629,9164.53
23-Oct-15 09:05,10.30,942,9702.60
23-Oct-15 09:04,14.79,790,11684.10
23-Oct-15 09:03,14.30,442,6320.60
23-Oct-15 09:02,12.05,515,6205.75
23-Oct-15 09:01,12.47,918,11447.46
23-Oct-15 09:00,14.54,700,10178.00
23-Oct-15 08:59,14.38,296,4256.48
23-Oct-15 08:58,9.64,443,4270.52
23-Oct-15 08:57,13.92,836,11637.12
23-Oct-15 08:56,13.37,203,2714.11
23-Oct-15 08:55,14.52,261,3789.72
23-Oct-15 08:54,10.67,258,2752.86
23-Oct-15 08:53,14.92,545,8131.40
23-Oct-15 08:52,13.25,865,11461.25
23-Oct-15 08:51,9.71,840,8156.40
23-Oct-15 08:50,12.98,123,1596.54
23-Oct-15 08:49,9.55,880,8404.00
23-Oct-15 08:48,12.43,720,8949.60
23-Oct-15 08:47,10.82,284,3072.88
23-Oct-15 08:46,11.75,15,176.25
23-Oct-15 08:45,14.87,574,8535.38
23-Oct-15 08:44,12.93,170,2198.10
23-Oct-15 08:43,14.48,79,1143.92
23-Oct-15 08:42,9.75,33,321.75
23-Oct-15 08:41,13.15,748,9836.20
23-Oct-15 08:40,14.46,81,1171.26
23-Oct-15 08:39,12.64,657,8304.48
23-Oct-15 08:38,13.50,89,1201.50
23-Oct-15 08:37,10.07,818,8237.26
23-Oct-15 08:36,10.61,486,5156.46
23-Oct-15 08:35,10.13,91,921.83
23-Oct-15 08:34,10.90,216,2354.40
23-Oct-15 08:33,12.62,591,7458.42
23-Oct-15 08:32,10.74,490,5262.60
23-Oct-15 08:31,11.46,998,11437.08
23-Oct-15 08:30,11.96,60,717.60
23-Oct-15 08:29,9.26,966,8945.16
23-Oct-15 08:28,10.83,761,8241.63
23-Oct-15 08:27,14.09,635,8947.15
23-Oct-15 08:26,11.52,187,2154.24
23-Oct-15 08:25,13.50,835,11272.50
23-Oct-15 08:24,14.02,37,518.74
23-Oct-15 08:23,13.31,801,10661.31
23-Oct-15 08:22,11.96,581,6948.76
23-Oct-15 08:21,14.10,181,2552.10
23-Oct-15 08:20,11.88,818,9717.84
23-Oct-15 08:19,13.42,941,12628.22
23-Oct-15 08:18,9.53,140,1334.20
23-Oct-15 08:17,12.96,581,7529.76
23-Oct-15 08:16,10.19,878,8946.82
23-Oct-15 08:15,10.92,637,6956.04
23-Oct-15 08:14,10.79,580,6258.20
23-Oct-15 08:13,10.27,102,1047.54
23-Oct-15 08:12,13.91,355,4938.05
23-Oct-15 08:11,14.13,119,1681.47
23-Oct-15 08:10,13.28,737,9787.36
23-Oct-15 08:09,14.15,4,56.60
23-Oct-15 08:08,12.29,252,3097.08
23-Oct-15 08:07,9.65,151,1457.15
23-Oct-15 08:06,14.57,662,9645.34
23-Oct-15 08:05,14.74,240,3537.60
23-Oct-15 08:04,9.18,142,1303.56
23-Oct-15 08:03,13.25,547,7247.75
23-Oct-15 08:02,14.62,723,10570.26
23-Oct-15 08:01,14.52,154,2236.08
23-Oct-15 08:00,10.48,665,6969.20
23-Oct-15 07:59,11.13,259,2882.67
23-Oct-15 07:58,13.86,905,12543.30
23-Oct-15 07:57,10.43,783,8166.69
23-Oct-15 07:56,10.42,827,8617.34
23-Oct-15 07:55,9.72,683,6638.76
23-Oct-15 07:54,14.51,712,10331.12
23-Oct-15 07:53,11.15,557,6210.55
23-Oct-15 07:52,9.71,704,6835.84
23-Oct-15 07:51,13.97,957,13369.29
23-Oct-15 07:50,9.37,864,8095.68
23-Oct-15 07:49,13.58,796,10809.68
23-Oct-15 07:48,9.14,935,8545.90
23-Oct-15 07:47,11.15,660,7359.00
23-Oct-15 07:46,14.06,398,5595.88
23-Oct-15 07:45,14.75,215,3171.25
23-Oct-15 07:44,13.75,829,11398.75
23-Oct-15 07:43,10.76,315,3389.40
23-Oct-15 07:42,9.27,367,3402.09
23-Oct-15 07:41,9.38,816,7654.08
23-Oct-15 07:40,9.04,661,5975.44
23-Oct-15 07:39,12.77,85,1085.45
23-Oct-15 07:38,13.52,743,10045.36
23-Oct-15 07:37,14.70,800,11760.00
23-Oct-15 07:36,11.51,775,8920.25
23-Oct-15 07:35,10.08,77,776.16
23-Oct-15 07:34,9.19,116,1066.04
23-Oct-15 07:33,13.68,258,3529.44
23-Oct-15 07:32,11.58,679,7862.82
23-Oct-15 07:31,11.11,838,9310.18
23-Oct-15 07:30,12.93,991,12813.63
23-Oct-15 07:29,10.61,668,7087.48
23-Oct-15 07:28,9.69,152,1472.88
23-Oct-15 07:27,9.75,661,6444.75
23-Oct-15 07:26,13.26,492,6523.92
23-Oct-15 07:25,9.28,7,64.96
23-Oct-15 07:24,14.00,336,4704.00
23-Oct-15 07:23,13.37,478,6390.86
23-Oct-15 07:22,12.13,858,10407.54
23-Oct-15 07:21,12.15,640,7776.00
23-Oct-15 07:20,11.47,44,504.68
23-Oct-15 07:19,11.94,363,4334.22
23-Oct-15 07:18,11.40,947,10795.80
