date,price,volume,value
23-Oct-15 11:02,11.76,34,399.84
23-Oct-15 11:01,9.68,233,2255.44
23-Oct-15 11:00,14.75,942,13894.50
23-Oct-15 10:59,12.37,271,3352.27
23-Oct-15 10:58,9.49,116,1100.84
23-Oct-15 10:57,10.05,459,4612.95
23-Oct-15 10:56,12.51,877,10971.27
23-Oct-15 10:55,14.18,148,2098.64
23-Oct-15 10:54,13.45,212,2851.40
23-Oct-15 10:53,10.08,192,1935.36
23-Oct-15 10:52,10.40,516,5366.40
23-Oct-15 10:51,12.75,449,5724.75
23-Oct-15 10:50,12.79,667,8530.93
23-Oct-15 10:49,13.79,401,5529.79
23-Oct-15 10:48,13.15,776,10204.40
23-Oct-15 10:47,11.05,56,618.80
23-Oct-15 10:46,14.77,847,12510.19
23-Oct-15 10:45,9.26,955,8843.30
23-Oct-15 10:44,9.45,942,8901.90
23-Oct-15 10:43,11.65,491,5720.15
23-Oct-15 10:42,14.99,832,12471.68
23-Oct-15 10:41,13.51,510,6890.10
23-Oct-15 10:40,10.36,366,3791.76
23-Oct-15 10:39,13.80,422,5823.60
23-Oct-15 10:38,13.24,920,12180.80
23-Oct-15 10:37,13.09,215,2814.35
23-Oct-15 10:36,10.27,367,3769.09
23-Oct-15 10:35,14.34,556,7973.04
23-Oct-15 10:34,11.38,328,3732.64
23-Oct-15 10:33,11.56,410,4739.60
23-Oct-15 10:32,14.42,533,7685.86
23-Oct-15 10:31,13.30,742,9868.60
23-Oct-15 10:30,9.21,485,4466.85
23-Oct-15 10:29,13.10,930,12183.00
23-Oct-15 10:28,12.70,215,2730.50
23-Oct-15 10:27,12.03,274,3296.22
23-Oct-15 10:26,14.68,343,5035.24
23-Oct-15 10:25,11.62,402,4671.24
23-Oct-15 10:24,14.68,836,12272.48
23-Oct-15 10:23,12.12,385,4666.20
23-Oct-15 10:22,13.13,68,892.84
23-Oct-15 10:21,14.44,343,4952.92
23-Oct-15 10:20,13.34,782,10431.88
23-Oct-15 10:19,10.60,353,3741.80
23-Oct-15 10:18,13.76,745,10251.20
23-Oct-15 10:17,14.03,62,869.86
23-Oct-15 10:16,11.03,311,3430.33
23-Oct-15 10:15,9.78,395,3863.10
23-Oct-15 10:14,9.60,475,4560.00
23-Oct-15 10:13,13.61,363,4940.43
23-Oct-15 10:12,14.30,42,600.60
23-Oct-15 10:11,14.52,574,8334.48
23-Oct-15 10:10,13.63,676,9213.88
23-Oct-15 10:09,12.37,40,494.80
23-Oct-15 10:08,13.46,666,8964.36
23-Oct-15 10:07,13.07,292,3816.44
23-Oct-15 10:06,13.37,783,10468.71
23-Oct-15 10:05,12.67,181,2293.27
23-Oct-15 10:04,14.79,441,6522.39
23-Oct-15 10:03,9.28,794,7368.32
23-Oct-15 10:02,14.09,351,4945.59
23-Oct-15 10:01,13.89,262,3639.18
23-Oct-15 10:00,9.42,888,8364.96
23-Oct-15 09:59,13.80,468,6458.40
23-Oct-15 09:58,11.65,947,11032.55
23-Oct-15 09:57,14.02,58,813.16
23-Oct-15 09:56,10.20,901,9190.20
23-Oct-15 09:55,14.96,145,2169.20
23-Oct-15 09:54,11.41,261,2978.01
23-Oct-15 09:53,14.50,329,4770.50
23-Oct-15 09:52,9.87,38,375.06
23-Oct-15 09:51,12.36,395,4882.20
23-Oct-15 09:50,13.44,996,13386.24
23-Oct-15 09:49,13.40,931,12475.40
23-Oct-15 09:48,9.34,222,2073.48
23-Oct-15 09:47,10.32,234,2414.88
23-Oct-15 09:46,9.69,374,3624.06
23-Oct-15 09:45,14.69,515,7565.35
23-Oct-15 09:44,10.53,647,6812.91
23-Oct-15 09:43,11.49,616,7077.84
23-Oct-15 09:42,10.22,432,4415.04
23-Oct-15 09:41,11.79,418,4928.22
23-Oct-15 09:40,12.53,474,5939.22
23-Oct-15 09:39,14.71,742,10914.82
23-Oct-15 09:38,13.42,729,9783.18
23-Oct-15 09:37,11.98,572,6852.56
23-Oct-15 09:36,10.59,329,3484.11
23-Oct-15 09:35,14.21,751,10671.71
23-Oct-15 09:34,10.58,36,380.88
23-Oct-15 09:33,11.47,2,22.94
23-Oct-15 09:32,12.21,406,4957.26
23-Oct-15 09:31,9.82,428,4202.96
23-Oct-15 09:30,14.67,443,6498.81
23-Oct-15 09:29,9.81,725,7112.25
23-Oct-15 09:28,14.74,966,14238.84
23-Oct-15 09:27,14.17,695,9848.15
23-Oct-15 09:26,10.97,659,7229.23
23-Oct-15 09:25,12.10,449,5432.90
23-Oct-15 09:24,9.93,639,6345.27
23-Oct-15 09:23,10.60,921,9762.60
