date,price,volume,value
23-Oct-15 09:22,9.90,508,5029.20
23-Oct-15 09:21,9.93,276,2740.68
23-Oct-15 09:20,9.78,919,8987.82
23-Oct-15 09:19,14.00,216,3024.00
23-Oct-15 09:18,11.58,432,5002.56
23-Oct-15 09:17,9.90,396,3920.40
23-Oct-15 09:16,14.42,72,1038.24
23-Oct-15 09:15,14.03,530,7435.90
23-Oct-15 09:14,11.72,590,6914.80
23-Oct-15 09:13,13.43,597,8017.71
23-Oct-15 09:12,10.66,625,6662.50
23-Oct-15 09:11,9.63,558,5373.54
23-Oct-15 09:10,14.78,159,2350.02
23-Oct-15 09:09,13.39,157,2102.23
23-Oct-15 09:08,14.52,476,6911.52
23-Oct-15 09:07,14.32,636,9107.52
23-Oct-15 09:06,14.57,629,9164.53
23-Oct-15 09:05,10.30,942,9702.60
23-Oct-15 09:04,14.79,790,11684.10
23-Oct-15 09:03,14.30,442,6320.60
23-Oct-15 09:02,12.05,515,6205.75
23-Oct-15 09:01,12.47,918,11447.46
23-Oct-15 09:00,14.54,700,10178.00
23-Oct-15 08:59,14.38,296,4256.48
23-Oct-15 08:58,9.64,443,4270.52
23-Oct-15 08:57,13.92,836,11637.12
23-Oct-15 08:56,13.37,203,2714.11
23-Oct-15 08:55,14.52,261,3789.72
23-Oct-15 08:54,10.67,258,2752.86
23-Oct-15 08:53,14.92,545,8131.40
23-Oct-15 08:52,13.25,865,11461.25
23-Oct-15 08:51,9.71,840,8156.40
23-Oct-15 08:50,12.98,123,1596.54
23-Oct-15 08:49,9.55,880,8404.00
23-Oct-15 08:48,12.43,720,8949.60
23-Oct-15 08:47,10.82,284,3072.88
23-Oct-15 08:46,11.75,15,176.25
23-Oct-15 08:45,14.87,574,8535.38
23-Oct-15 08:44,12.93,170,2198.10
23-Oct-15 08:43,14.48,79,1143.92
23-Oct-15 08:42,9.75,33,321.75
23-Oct-15 08:41,13.15,748,9836.20
23-Oct-15 08:40,14.46,81,1171.26
23-Oct-15 08:39,12.64,657,8304.48
23-Oct-15 08:38,13.50,89,1201.50
23-Oct-15 08:37,10.07,818,8237.26
23-Oct-15 08:36,10.61,486,5156.46
23-Oct-15 08:35,10.13,91,921.83
23-Oct-15 08:34,10.90,216,2354.40
23-Oct-15 08:33,12.62,591,7458.42
23-Oct-15 08:32,10.74,490,5262.60
23-Oct-15 08:31,11.46,998,11437.08
23-Oct-15 08:30,11.96,60,717.60
23-Oct-15 08:29,9.26,966,8945.16
23-Oct-15 08:28,10.83,761,8241.63
23-Oct-15 08:27,14.09,635,8947.15
23-Oct-15 08:26,11.52,187,2154.24
23-Oct-15 08:25,13.50,835,11272.50
23-Oct-15 08:24,14.02,37,518.74
23-Oct-15 08:23,13.31,801,10661.31
23-Oct-15 08:22,11.96,581,6948.76
23-Oct-15 08:21,14.10,181,2552.10
23-Oct-15 08:20,11.88,818,9717.84
23-Oct-15 08:19,13.42,941,12628.22
23-Oct-15 08:18,9.53,140,1334.20
23-Oct-15 08:17,12.96,581,7529.76
23-Oct-15 08:16,10.19,878,8946.82
23-Oct-15 08:15,10.92,637,6956.04
23-Oct-15 08:14,10.79,580,6258.20
23-Oct-15 08:13,10.27,102,1047.54
23-Oct-15 08:12,13.91,355,4938.05
23-Oct-15 08:11,14.13,119,1681.47
23-Oct-15 08:10,13.28,737,9787.36
23-Oct-15 08:09,14.15,4,56.60
23-Oct-15 08:08,12.29,252,3097.08
23-Oct-15 08:07,9.65,151,1457.15
23-Oct-15 08:06,14.57,662,9645.34
23-Oct-15 08:05,14.74,240,3537.60
23-Oct-15 08:04,9.18,142,1303.56
23-Oct-15 08:03,13.25,547,7247.75
23-Oct-15 08:02,14.62,723,10570.26
23-Oct-15 08:01,14.52,154,2236.08
23-Oct-15 08:00,10.48,665,6969.20
23-Oct-15 07:59,11.13,259,2882.67
23-Oct-15 07:58,13.86,905,12543.30
23-Oct-15 07:57,10.43,783,8166.69
23-Oct-15 07:56,10.42,827,8617.34
23-Oct-15 07:55,9.72,683,6638.76
23-Oct-15 07:54,14.51,712,10331.12
23-Oct-15 07:53,11.15,557,6210.55
23-Oct-15 07:52,9.71,704,6835.84
23-Oct-15 07:51,13.97,957,13369.29
23-Oct-15 07:50,9.37,864,8095.68
23-Oct-15 07:49,13.58,796,10809.68
23-Oct-15 07:48,9.14,935,8545.90
23-Oct-15 07:47,11.15,660,7359.00
23-Oct-15 07:46,14.06,398,5595.88
23-Oct-15 07:45,14.75,215,3171.25
23-Oct-15 07:44,13.75,829,11398.75
23-Oct-15 07:43,10.76,315,3389.40
