date,price,volume,value
23-Oct-15 07:42,9.27,367,3402.09
23-Oct-15 07:41,9.38,816,7654.08
23-Oct-15 07:40,9.04,661,5975.44
23-Oct-15 07:39,12.77,85,1085.45
23-Oct-15 07:38,13.52,743,10045.36
23-Oct-15 07:37,14.70,800,11760.00
23-Oct-15 07:36,11.51,775,8920.25
23-Oct-15 07:35,10.08,77,776.16
23-Oct-15 07:34,9.19,116,1066.04
23-Oct-15 07:33,13.68,258,3529.44
23-Oct-15 07:32,11.58,679,7862.82
23-Oct-15 07:31,11.11,838,9310.18
23-Oct-15 07:30,12.93,991,12813.63
23-Oct-15 07:29,10.61,668,7087.48
23-Oct-15 07:28,9.69,152,1472.88
23-Oct-15 07:27,9.75,661,6444.75
23-Oct-15 07:26,13.26,492,6523.92
23-Oct-15 07:25,9.28,7,64.96
23-Oct-15 07:24,14.00,336,4704.00
23-Oct-15 07:23,13.37,478,6390.86
23-Oct-15 07:22,12.13,858,10407.54
23-Oct-15 07:21,12.15,640,7776.00
23-Oct-15 07:20,11.47,44,504.68
23-Oct-15 07:19,11.94,363,4334.22
23-Oct-15 07:18,11.40,947,10795.80
23-Oct-15 07:17,14.29,228,3258.12
23-Oct-15 07:16,10.75,654,7030.50
23-Oct-15 07:15,13.35,835,11147.25
23-Oct-15 07:14,14.11,735,10370.85
23-Oct-15 07:13,9.90,418,4138.20
23-Oct-15 07:12,11.13,12,133.56
23-Oct-15 07:11,13.44,552,7418.88
23-Oct-15 07:10,10.65,12,127.80
23-Oct-15 07:09,11.80,158,1864.40
23-Oct-15 07:08,14.35,930,13345.50
23-Oct-15 07:07,11.48,17,195.16
23-Oct-15 07:06,13.32,887,11814.84
23-Oct-15 07:05,9.07,778,7056.46
23-Oct-15 07:04,11.49,690,7928.10
23-Oct-15 07:03,14.70,671,9863.70
23-Oct-15 07:02,11.20,88,985.60
23-Oct-15 07:01,14.17,510,7226.70
23-Oct-15 07:00,9.48,538,5100.24
23-Oct-15 06:59,10.85,804,8723.40
23-Oct-15 06:58,9.68,856,8286.08
23-Oct-15 06:57,9.54,571,5447.34
23-Oct-15 06:56,14.41,788,11355.08
23-Oct-15 06:55,11.76,242,2845.92
23-Oct-15 06:54,11.70,56,655.20
23-Oct-15 06:53,14.76,74,1092.24
23-Oct-15 06:52,10.29,923,9497.67
23-Oct-15 06:51,10.18,257,2616.26
23-Oct-15 06:50,13.58,660,8962.80
23-Oct-15 06:49,9.46,921,8712.66
23-Oct-15 06:48,11.65,892,10391.80
23-Oct-15 06:47,13.33,857,11423.81
23-Oct-15 06:46,13.26,468,6205.68
23-Oct-15 06:45,13.20,112,1478.40
23-Oct-15 06:44,10.39,411,4270.29
23-Oct-15 06:43,10.14,902,9146.28
23-Oct-15 06:42,10.87,189,2054.43
23-Oct-15 06:41,12.32,830,10225.60
23-Oct-15 06:40,13.03,62,807.86
23-Oct-15 06:39,10.74,587,6304.38
23-Oct-15 06:38,13.18,553,7288.54
23-Oct-15 06:37,10.14,960,9734.40
23-Oct-15 06:36,10.54,197,2076.38
23-Oct-15 06:35,10.06,950,9557.00
23-Oct-15 06:34,11.54,8,92.32
23-Oct-15 06:33,9.88,574,5671.12
23-Oct-15 06:32,12.89,832,10724.48
23-Oct-15 06:31,10.63,974,10353.62
23-Oct-15 06:30,13.80,815,11247.00
23-Oct-15 06:29,9.81,435,4267.35
23-Oct-15 06:28,11.94,154,1838.76
23-Oct-15 06:27,13.90,483,6713.70
23-Oct-15 06:26,13.41,158,2118.78
23-Oct-15 06:25,14.53,501,7279.53
23-Oct-15 06:24,9.00,612,5508.00
23-Oct-15 06:23,12.28,41,503.48
23-Oct-15 06:22,12.68,633,8026.44
23-Oct-15 06:21,11.78,23,270.94
23-Oct-15 06:20,14.30,829,11854.70
23-Oct-15 06:19,10.89,456,4965.84
23-Oct-15 06:18,9.38,956,8967.28
23-Oct-15 06:17,12.00,839,10068.00
23-Oct-15 06:16,11.95,89,1063.55
23-Oct-15 06:15,10.92,878,9587.76
23-Oct-15 06:14,10.16,661,6715.76
23-Oct-15 06:13,11.57,287,3320.59
23-Oct-15 06:12,12.42,844,10482.48
23-Oct-15 06:11,9.28,101,937.28
23-Oct-15 06:10,14.85,795,11805.75
23-Oct-15 06:09,9.97,89,887.33
23-Oct-15 06:08,9.47,20,189.40
23-Oct-15 06:07,11.44,458,5239.52
23-Oct-15 06:06,12.02,827,9940.54
23-Oct-15 06:05,12.34,664,8193.76
23-Oct-15 06:04,11.96,299,3576.04
23-Oct-15 06:03,13.27,126,1672.02
