date,price,volume,value
23-Oct-15 06:02,14.72,340,5004.80
23-Oct-15 06:01,14.39,24,345.36
23-Oct-15 06:00,14.76,241,3557.16
23-Oct-15 05:59,14.00,223,3122.00
23-Oct-15 05:58,13.19,935,12332.65
23-Oct-15 05:57,9.56,670,6405.20
23-Oct-15 05:56,14.98,164,2456.72
23-Oct-15 05:55,14.01,510,7145.10
23-Oct-15 05:54,14.29,931,13303.99
23-Oct-15 05:53,13.23,97,1283.31
23-Oct-15 05:52,14.13,661,9339.93
23-Oct-15 05:51,10.75,493,5299.75
23-Oct-15 05:50,14.42,664,9574.88
23-Oct-15 05:49,12.64,291,3678.24
23-Oct-15 05:48,14.05,688,9666.40
23-Oct-15 05:47,11.63,914,10629.82
23-Oct-15 05:46,10.05,586,5889.30
23-Oct-15 05:45,11.73,231,2709.63
23-Oct-15 05:44,10.40,68,707.20
23-Oct-15 05:43,10.50,462,4851.00
23-Oct-15 05:42,12.92,367,4741.64
23-Oct-15 05:41,10.34,190,1964.60
23-Oct-15 05:40,14.89,992,14770.88
23-Oct-15 05:39,14.57,268,3904.76
23-Oct-15 05:38,9.27,994,9214.38
23-Oct-15 05:37,9.45,30,283.50
23-Oct-15 05:36,12.15,719,8735.85
23-Oct-15 05:35,10.96,601,6586.96
23-Oct-15 05:34,9.37,873,8180.01
23-Oct-15 05:33,11.69,107,1250.83
23-Oct-15 05:32,9.97,875,8723.75
23-Oct-15 05:31,10.23,777,7948.71
23-Oct-15 05:30,11.36,324,3680.64
23-Oct-15 05:29,9.90,766,7583.40
23-Oct-15 05:28,9.78,751,7344.78
23-Oct-15 05:27,11.55,852,9840.60
23-Oct-15 05:26,12.88,685,8822.80
23-Oct-15 05:25,14.34,252,3613.68
23-Oct-15 05:24,12.94,608,7867.52
23-Oct-15 05:23,14.32,526,7532.32
23-Oct-15 05:22,9.20,15,138.00
23-Oct-15 05:21,11.57,193,2233.01
23-Oct-15 05:20,13.18,373,4916.14
23-Oct-15 05:19,13.29,437,5807.73
23-Oct-15 05:18,9.11,584,5320.24
23-Oct-15 05:17,9.29,715,6642.35
23-Oct-15 05:16,10.91,540,5891.40
23-Oct-15 05:15,13.17,869,11444.73
23-Oct-15 05:14,10.47,783,8198.01
23-Oct-15 05:13,10.25,535,5483.75
23-Oct-15 05:12,13.35,70,934.50
23-Oct-15 05:11,9.15,648,5929.20
23-Oct-15 05:10,13.43,621,8340.03
23-Oct-15 05:09,13.13,460,6039.80
23-Oct-15 05:08,9.78,691,6757.98
23-Oct-15 05:07,12.09,839,10143.51
23-Oct-15 05:06,10.64,222,2362.08
23-Oct-15 05:05,12.03,291,3500.73
23-Oct-15 05:04,14.41,201,2896.41
23-Oct-15 05:03,9.44,55,519.20
23-Oct-15 05:02,14.75,527,7773.25
23-Oct-15 05:01,13.11,123,1612.53
23-Oct-15 05:00,10.93,562,6142.66
23-Oct-15 04:59,9.38,145,1360.10
23-Oct-15 04:58,10.68,195,2082.60
23-Oct-15 04:57,10.99,439,4824.61
23-Oct-15 04:56,11.99,403,4831.97
23-Oct-15 04:55,14.41,503,7248.23
23-Oct-15 04:54,11.09,703,7796.27
23-Oct-15 04:53,13.11,618,8101.98
23-Oct-15 04:52,10.20,122,1244.40
23-Oct-15 04:51,13.26,165,2187.90
23-Oct-15 04:50,14.66,446,6538.36
23-Oct-15 04:49,13.49,429,5787.21
23-Oct-15 04:48,11.18,185,2068.30
23-Oct-15 04:47,9.98,510,5089.80
23-Oct-15 04:46,11.26,32,360.32
23-Oct-15 04:45,11.64,734,8543.76
23-Oct-15 04:44,14.57,221,3219.97
23-Oct-15 04:43,10.61,358,3798.38
23-Oct-15 04:42,13.48,188,2534.24
23-Oct-15 04:41,10.84,786,8520.24
23-Oct-15 04:40,14.50,530,7685.00
23-Oct-15 04:39,13.66,871,11897.86
23-Oct-15 04:38,12.54,63,790.02
23-Oct-15 04:37,10.88,132,1436.16
23-Oct-15 04:36,9.82,979,9613.78
23-Oct-15 04:35,11.64,855,9952.20
23-Oct-15 04:34,13.16,315,4145.40
23-Oct-15 04:33,10.69,311,3324.59
23-Oct-15 04:32,11.30,102,1152.60
23-Oct-15 04:31,9.63,856,8243.28
23-Oct-15 04:30,11.04,826,9119.04
23-Oct-15 04:29,12.56,152,1909.12
23-Oct-15 04:28,14.87,596,8862.52
23-Oct-15 04:27,12.15,65,789.75
23-Oct-15 04:26,9.18,792,7270.56
23-Oct-15 04:25,10.64,480,5107.20
23-Oct-15 04:24,9.75,832,8112.00
23-Oct-15 04:23,11.02,810,8926.20
