date,price,volume,value
23-Oct-15 02:42,13.49,794,10711.06
23-Oct-15 02:41,12.16,515,6262.40
23-Oct-15 02:40,11.08,778,8620.24
23-Oct-15 02:39,9.28,444,4120.32
23-Oct-15 02:38,9.39,642,6028.38
23-Oct-15 02:37,9.49,98,930.02
23-Oct-15 02:36,12.36,591,7304.76
23-Oct-15 02:35,14.69,402,5905.38
23-Oct-15 02:34,10.34,827,8551.18
23-Oct-15 02:33,14.71,829,12194.59
23-Oct-15 02:32,14.59,117,1707.03
23-Oct-15 02:31,12.51,902,11284.02
23-Oct-15 02:30,14.17,443,6277.31
23-Oct-15 02:29,9.91,208,2061.28
23-Oct-15 02:28,12.20,172,2098.40
23-Oct-15 02:27,9.55,301,2874.55
23-Oct-15 02:26,10.85,104,1128.40
23-Oct-15 02:25,11.99,520,6234.80
23-Oct-15 02:24,12.26,639,7834.14
23-Oct-15 02:23,13.15,94,1236.10
23-Oct-15 02:22,10.71,36,385.56
23-Oct-15 02:21,10.47,148,1549.56
23-Oct-15 02:20,14.92,569,8489.48
23-Oct-15 02:19,14.09,620,8735.80
23-Oct-15 02:18,11.66,189,2203.74
23-Oct-15 02:17,12.44,863,10735.72
23-Oct-15 02:16,11.74,81,950.94
23-Oct-15 02:15,14.81,561,8308.41
23-Oct-15 02:14,9.07,724,6566.68
23-Oct-15 02:13,9.73,332,3230.36
23-Oct-15 02:12,11.10,57,632.70
23-Oct-15 02:11,10.27,841,8637.07
23-Oct-15 02:10,13.59,725,9852.75
23-Oct-15 02:09,9.80,211,2067.80
23-Oct-15 02:08,12.83,850,10905.50
23-Oct-15 02:07,10.12,326,3299.12
23-Oct-15 02:06,10.77,888,9563.76
23-Oct-15 02:05,11.60,49,568.40
23-Oct-15 02:04,12.40,782,9696.80
23-Oct-15 02:03,12.32,322,3967.04
23-Oct-15 02:02,14.90,429,6392.10
23-Oct-15 02:01,9.45,787,7437.15
23-Oct-15 02:00,14.44,436,6295.84
23-Oct-15 01:59,11.30,282,3186.60
23-Oct-15 01:58,14.51,380,5513.80
23-Oct-15 01:57,9.25,659,6095.75
23-Oct-15 01:56,14.99,566,8484.34
23-Oct-15 01:55,9.17,495,4539.15
23-Oct-15 01:54,13.63,691,9418.33
23-Oct-15 01:53,14.71,293,4310.03
23-Oct-15 01:52,12.30,794,9766.20
23-Oct-15 01:51,12.92,797,10297.24
23-Oct-15 01:50,10.71,928,9938.88
23-Oct-15 01:49,14.19,604,8570.76
23-Oct-15 01:48,9.14,508,4643.12
23-Oct-15 01:47,13.66,266,3633.56
23-Oct-15 01:46,12.36,177,2187.72
23-Oct-15 01:45,9.92,104,1031.68
23-Oct-15 01:44,13.61,562,7648.82
23-Oct-15 01:43,13.14,917,12049.38
23-Oct-15 01:42,11.33,338,3829.54
23-Oct-15 01:41,13.88,793,11006.84
23-Oct-15 01:40,10.98,580,6368.40
23-Oct-15 01:39,10.62,415,4407.30
23-Oct-15 01:38,12.39,229,2837.31
23-Oct-15 01:37,14.34,70,1003.80
23-Oct-15 01:36,9.01,449,4045.49
23-Oct-15 01:35,9.11,962,8763.82
23-Oct-15 01:34,12.79,287,3670.73
23-Oct-15 01:33,9.42,618,5821.56
23-Oct-15 01:32,10.39,228,2368.92
23-Oct-15 01:31,13.86,602,8343.72
23-Oct-15 01:30,11.53,862,9938.86
23-Oct-15 01:29,12.90,718,9262.20
23-Oct-15 01:28,9.65,840,8106.00
23-Oct-15 01:27,13.28,524,6958.72
23-Oct-15 01:26,10.59,328,3473.52
23-Oct-15 01:25,11.85,141,1670.85
23-Oct-15 01:24,12.73,375,4773.75
23-Oct-15 01:23,10.14,158,1602.12
23-Oct-15 01:22,10.73,570,6116.10
23-Oct-15 01:21,14.47,49,709.03
23-Oct-15 01:20,11.46,594,6807.24
23-Oct-15 01:19,11.41,874,9972.34
23-Oct-15 01:18,14.10,891,12563.10
23-Oct-15 01:17,13.59,98,1331.82
23-Oct-15 01:16,13.83,620,8574.60
23-Oct-15 01:15,10.86,688,7471.68
23-Oct-15 01:14,10.40,715,7436.00
23-Oct-15 01:13,11.58,136,1574.88
23-Oct-15 01:12,14.83,48,711.84
23-Oct-15 01:11,10.21,756,7718.76
23-Oct-15 01:10,9.79,681,6666.99
23-Oct-15 01:09,14.94,703,10502.82
23-Oct-15 01:08,10.34,235,2429.90
23-Oct-15 01:07,14.05,676,9497.80
23-Oct-15 01:06,14.74,742,10937.08
23-Oct-15 01:05,14.39,731,10519.09
23-Oct-15 01:04,12.66,210,2658.60
23-Oct-15 01:03,10.37,789,8181.93
