date,price,volume,value
22-Oct-15 23:22,11.46,267,3059.82
22-Oct-15 23:21,11.80,531,6265.80
22-Oct-15 23:20,13.90,448,6227.20
22-Oct-15 23:19,14.21,281,3993.01
22-Oct-15 23:18,10.02,587,5881.74
22-Oct-15 23:17,10.61,697,7395.17
22-Oct-15 23:16,11.51,302,3476.02
22-Oct-15 23:15,11.29,241,2720.89
22-Oct-15 23:14,11.98,548,6565.04
22-Oct-15 23:13,13.80,251,3463.80
22-Oct-15 23:12,11.05,778,8596.90
22-Oct-15 23:11,10.33,860,8883.80
22-Oct-15 23:10,14.40,404,5817.60
22-Oct-15 23:09,13.85,799,11066.15
22-Oct-15 23:08,13.44,753,10120.32
22-Oct-15 23:07,13.35,906,12095.10
22-Oct-15 23:06,12.92,528,6821.76
22-Oct-15 23:05,10.07,339,3413.73
22-Oct-15 23:04,9.62,567,5454.54
22-Oct-15 23:03,10.72,83,889.76
22-Oct-15 23:02,14.33,307,4399.31
22-Oct-15 23:01,13.87,960,13315.20
22-Oct-15 23:00,11.38,133,1513.54
22-Oct-15 22:59,11.93,939,11202.27
22-Oct-15 22:58,9.01,247,2225.47
22-Oct-15 22:57,10.27,544,5586.88
22-Oct-15 22:56,14.63,25,365.75
22-Oct-15 22:55,14.91,366,5457.06
22-Oct-15 22:54,13.60,72,979.20
22-Oct-15 22:53,11.47,866,9933.02
22-Oct-15 22:52,14.25,389,5543.25
22-Oct-15 22:51,14.19,95,1348.05
22-Oct-15 22:50,13.76,423,5820.48
22-Oct-15 22:49,11.68,493,5758.24
22-Oct-15 22:48,13.93,435,6059.55
22-Oct-15 22:47,11.42,803,9170.26
22-Oct-15 22:46,10.46,555,5805.30
22-Oct-15 22:45,14.08,282,3970.56
22-Oct-15 22:44,14.44,743,10728.92
22-Oct-15 22:43,12.61,7,88.27
22-Oct-15 22:42,9.47,845,8002.15
22-Oct-15 22:41,14.91,884,13180.44
22-Oct-15 22:40,9.48,559,5299.32
22-Oct-15 22:39,10.00,965,9650.00
22-Oct-15 22:38,13.62,684,9316.08
22-Oct-15 22:37,13.80,44,607.20
22-Oct-15 22:36,12.20,494,6026.80
22-Oct-15 22:35,13.62,980,13347.60
22-Oct-15 22:34,12.28,182,2234.96
22-Oct-15 22:33,11.52,496,5713.92
22-Oct-15 22:32,9.07,630,5714.10
22-Oct-15 22:31,10.78,295,3180.10
22-Oct-15 22:30,10.93,664,7257.52
22-Oct-15 22:29,9.32,667,6216.44
22-Oct-15 22:28,13.17,14,184.38
22-Oct-15 22:27,10.99,797,8759.03
22-Oct-15 22:26,12.75,174,2218.50
22-Oct-15 22:25,13.03,178,2319.34
22-Oct-15 22:24,14.27,560,7991.20
22-Oct-15 22:23,10.48,114,1194.72
22-Oct-15 22:22,12.39,571,7074.69
22-Oct-15 22:21,11.67,338,3944.46
22-Oct-15 22:20,12.18,749,9122.82
22-Oct-15 22:19,11.08,515,5706.20
22-Oct-15 22:18,14.29,235,3358.15
22-Oct-15 22:17,9.95,254,2527.30
22-Oct-15 22:16,9.48,932,8835.36
22-Oct-15 22:15,13.45,414,5568.30
22-Oct-15 22:14,10.80,960,10368.00
22-Oct-15 22:13,11.83,121,1431.43
22-Oct-15 22:12,14.84,24,356.16
22-Oct-15 22:11,9.92,466,4622.72
22-Oct-15 22:10,13.42,859,11527.78
22-Oct-15 22:09,10.73,526,5643.98
22-Oct-15 22:08,11.85,807,9562.95
22-Oct-15 22:07,10.39,667,6930.13
22-Oct-15 22:06,10.71,661,7079.31
22-Oct-15 22:05,14.41,153,2204.73
22-Oct-15 22:04,12.23,634,7753.82
22-Oct-15 22:03,9.84,856,8423.04
22-Oct-15 22:02,10.46,612,6401.52
22-Oct-15 22:01,9.49,271,2571.79
22-Oct-15 22:00,14.71,720,10591.20
22-Oct-15 21:59,11.91,815,9706.65
22-Oct-15 21:58,10.89,576,6272.64
22-Oct-15 21:57,10.68,846,9035.28
22-Oct-15 21:56,13.58,452,6138.16
22-Oct-15 21:55,14.44,168,2425.92
22-Oct-15 21:54,14.88,534,7945.92
22-Oct-15 21:53,9.30,836,7774.80
22-Oct-15 21:52,9.54,882,8414.28
22-Oct-15 21:51,11.96,79,944.84
22-Oct-15 21:50,11.18,884,9883.12
22-Oct-15 21:49,13.85,92,1274.20
22-Oct-15 21:48,12.58,28,352.24
22-Oct-15 21:47,13.31,956,12724.36
22-Oct-15 21:46,12.93,143,1848.99
22-Oct-15 21:45,11.53,451,5200.03
22-Oct-15 21:44,9.90,575,5692.50
22-Oct-15 21:43,14.44,952,13746.88
