date,price,volume,value
22-Oct-15 21:42,9.57,441,4220.37
22-Oct-15 21:41,12.12,849,10289.88
22-Oct-15 21:40,10.71,381,4080.51
22-Oct-15 21:39,9.02,656,5917.12
22-Oct-15 21:38,11.69,627,7329.63
22-Oct-15 21:37,11.86,813,9642.18
22-Oct-15 21:36,11.18,762,8519.16
22-Oct-15 21:35,12.92,5,64.60
22-Oct-15 21:34,9.55,171,1633.05
22-Oct-15 21:33,14.65,360,5274.00
22-Oct-15 21:32,11.93,809,9651.37
22-Oct-15 21:31,11.77,772,9086.44
22-Oct-15 21:30,11.67,656,7655.52
22-Oct-15 21:29,12.92,300,3876.00
22-Oct-15 21:28,12.59,876,11028.84
22-Oct-15 21:27,14.88,280,4166.40
22-Oct-15 21:26,14.04,482,6767.28
22-Oct-15 21:25,13.55,136,1842.80
22-Oct-15 21:24,10.99,687,7550.13
22-Oct-15 21:23,9.71,487,4728.77
22-Oct-15 21:22,11.25,968,10890.00
22-Oct-15 21:21,9.68,761,7366.48
22-Oct-15 21:20,10.76,229,2464.04
22-Oct-15 21:19,9.47,98,928.06
22-Oct-15 21:18,13.12,650,8528.00
22-Oct-15 21:17,11.95,164,1959.80
22-Oct-15 21:16,12.82,60,769.20
22-Oct-15 21:15,12.97,457,5927.29
22-Oct-15 21:14,13.52,182,2460.64
22-Oct-15 21:13,9.38,921,8638.98
22-Oct-15 21:12,12.86,404,5195.44
22-Oct-15 21:11,11.50,53,609.50
22-Oct-15 21:10,11.98,431,5163.38
22-Oct-15 21:09,11.57,108,1249.56
22-Oct-15 21:08,10.41,651,6776.91
22-Oct-15 21:07,12.67,615,7792.05
22-Oct-15 21:06,12.47,986,12295.42
22-Oct-15 21:05,9.90,384,3801.60
22-Oct-15 21:04,12.81,61,781.41
22-Oct-15 21:03,10.37,215,2229.55
22-Oct-15 21:02,10.99,53,582.47
22-Oct-15 21:01,13.76,905,12452.80
22-Oct-15 21:00,9.61,58,557.38
22-Oct-15 20:59,9.53,966,9205.98
22-Oct-15 20:58,12.12,550,6666.00
22-Oct-15 20:57,14.43,422,6089.46
22-Oct-15 20:56,13.69,735,10062.15
22-Oct-15 20:55,9.79,527,5159.33
22-Oct-15 20:54,11.26,817,9199.42
22-Oct-15 20:53,10.89,571,6218.19
22-Oct-15 20:52,10.74,553,5939.22
22-Oct-15 20:51,10.26,794,8146.44
22-Oct-15 20:50,14.40,513,7387.20
22-Oct-15 20:49,11.46,986,11299.56
22-Oct-15 20:48,13.33,238,3172.54
22-Oct-15 20:47,10.13,808,8185.04
22-Oct-15 20:46,10.08,706,7116.48
22-Oct-15 20:45,13.92,992,13808.64
22-Oct-15 20:44,12.56,884,11103.04
22-Oct-15 20:43,12.19,254,3096.26
22-Oct-15 20:42,11.94,390,4656.60
22-Oct-15 20:41,13.10,104,1362.40
22-Oct-15 20:40,13.10,253,3314.30
22-Oct-15 20:39,12.39,355,4398.45
22-Oct-15 20:38,10.21,571,5829.91
22-Oct-15 20:37,13.44,532,7150.08
22-Oct-15 20:36,13.30,872,11597.60
22-Oct-15 20:35,11.31,778,8799.18
22-Oct-15 20:34,9.28,974,9038.72
22-Oct-15 20:33,12.81,75,960.75
22-Oct-15 20:32,14.48,141,2041.68
22-Oct-15 20:31,13.84,535,7404.40
22-Oct-15 20:30,13.53,342,4627.26
22-Oct-15 20:29,13.38,627,8389.26
22-Oct-15 20:28,12.69,18,228.42
22-Oct-15 20:27,9.24,475,4389.00
22-Oct-15 20:26,11.31,932,10540.92
22-Oct-15 20:25,9.61,274,2633.14
22-Oct-15 20:24,9.38,535,5018.30
22-Oct-15 20:23,13.09,993,12998.37
22-Oct-15 20:22,10.39,222,2306.58
22-Oct-15 20:21,12.62,392,4947.04
22-Oct-15 20:20,12.21,91,1111.11
22-Oct-15 20:19,9.52,325,3094.00
22-Oct-15 20:18,11.50,204,2346.00
22-Oct-15 20:17,12.22,952,11633.44
22-Oct-15 20:16,9.25,947,8759.75
22-Oct-15 20:15,10.70,49,524.30
22-Oct-15 20:14,10.60,289,3063.40
22-Oct-15 20:13,9.68,215,2081.20
22-Oct-15 20:12,14.53,338,4911.14
22-Oct-15 20:11,11.07,584,6464.88
22-Oct-15 20:10,12.71,606,7702.26
22-Oct-15 20:09,13.97,835,11664.95
22-Oct-15 20:08,10.29,362,3724.98
22-Oct-15 20:07,14.54,496,7211.84
22-Oct-15 20:06,11.79,698,8229.42
22-Oct-15 20:05,14.03,958,13440.74
22-Oct-15 20:04,13.42,484,6495.28
22-Oct-15 20:03,10.07,986,9929.02
