date,price,volume,value
22-Oct-15 20:02,14.31,629,9000.99
22-Oct-15 20:01,11.50,324,3726.00
22-Oct-15 20:00,11.49,239,2746.11
22-Oct-15 19:59,14.79,4,59.16
22-Oct-15 19:58,10.74,78,837.72
22-Oct-15 19:57,12.12,161,1951.32
22-Oct-15 19:56,10.48,926,9704.48
22-Oct-15 19:55,9.98,537,5359.26
22-Oct-15 19:54,12.46,840,10466.40
22-Oct-15 19:53,11.41,293,3343.13
22-Oct-15 19:52,11.38,912,10378.56
22-Oct-15 19:51,11.22,717,8044.74
22-Oct-15 19:50,11.31,531,6005.61
22-Oct-15 19:49,9.38,435,4080.30
22-Oct-15 19:48,10.74,735,7893.90
22-Oct-15 19:47,11.28,118,1331.04
22-Oct-15 19:46,11.43,880,10058.40
22-Oct-15 19:45,9.93,494,4905.42
22-Oct-15 19:44,11.88,994,11808.72
22-Oct-15 19:43,10.30,55,566.50
22-Oct-15 19:42,13.86,37,512.82
22-Oct-15 19:41,12.86,669,8603.34
22-Oct-15 19:40,14.41,459,6614.19
22-Oct-15 19:39,11.39,486,5535.54
22-Oct-15 19:38,14.35,865,12412.75
22-Oct-15 19:37,10.27,752,7723.04
22-Oct-15 19:36,14.10,967,13634.70
22-Oct-15 19:35,11.09,512,5678.08
22-Oct-15 19:34,14.93,849,12675.57
22-Oct-15 19:33,9.92,27,267.84
22-Oct-15 19:32,9.13,122,1113.86
22-Oct-15 19:31,10.69,675,7215.75
22-Oct-15 19:30,12.10,587,7102.70
22-Oct-15 19:29,10.95,968,10599.60
22-Oct-15 19:28,11.25,793,8921.25
22-Oct-15 19:27,11.64,857,9975.48
22-Oct-15 19:26,13.78,896,12346.88
22-Oct-15 19:25,10.56,145,1531.20
22-Oct-15 19:24,9.70,619,6004.30
22-Oct-15 19:23,11.54,388,4477.52
22-Oct-15 19:22,9.39,111,1042.29
22-Oct-15 19:21,10.45,517,5402.65
22-Oct-15 19:20,13.69,106,1451.14
22-Oct-15 19:19,9.63,735,7078.05
22-Oct-15 19:18,13.86,982,13610.52
22-Oct-15 19:17,13.41,537,7201.17
22-Oct-15 19:16,11.71,125,1463.75
22-Oct-15 19:15,10.64,211,2245.04
22-Oct-15 19:14,14.71,379,5575.09
22-Oct-15 19:13,10.20,250,2550.00
22-Oct-15 19:12,13.26,815,10806.90
22-Oct-15 19:11,10.37,866,8980.42
22-Oct-15 19:10,9.40,986,9268.40
22-Oct-15 19:09,13.72,992,13610.24
22-Oct-15 19:08,14.89,885,13177.65
22-Oct-15 19:07,14.57,997,14526.29
22-Oct-15 19:06,13.38,7,93.66
22-Oct-15 19:05,13.29,493,6551.97
22-Oct-15 19:04,12.59,907,11419.13
22-Oct-15 19:03,9.47,443,4195.21
22-Oct-15 19:02,14.45,861,12441.45
22-Oct-15 19:01,10.41,173,1800.93
22-Oct-15 19:00,9.43,24,226.32
22-Oct-15 18:59,10.30,82,844.60
22-Oct-15 18:58,12.84,886,11376.24
22-Oct-15 18:57,10.43,646,6737.78
22-Oct-15 18:56,10.09,441,4449.69
22-Oct-15 18:55,12.53,135,1691.55
22-Oct-15 18:54,13.85,37,512.45
22-Oct-15 18:53,9.67,417,4032.39
22-Oct-15 18:52,11.02,137,1509.74
22-Oct-15 18:51,9.38,868,8141.84
22-Oct-15 18:50,12.32,583,7182.56
22-Oct-15 18:49,14.99,384,5756.16
22-Oct-15 18:48,10.35,552,5713.20
22-Oct-15 18:47,14.42,287,4138.54
22-Oct-15 18:46,13.23,215,2844.45
22-Oct-15 18:45,13.67,137,1872.79
22-Oct-15 18:44,11.78,697,8210.66
22-Oct-15 18:43,10.71,241,2581.11
22-Oct-15 18:42,10.55,738,7785.90
22-Oct-15 18:41,12.61,858,10819.38
22-Oct-15 18:40,13.75,849,11673.75
22-Oct-15 18:39,9.35,919,8592.65
22-Oct-15 18:38,12.73,176,2240.48
22-Oct-15 18:37,14.89,822,12239.58
22-Oct-15 18:36,12.99,853,11080.47
22-Oct-15 18:35,10.42,754,7856.68
22-Oct-15 18:34,10.68,868,9270.24
22-Oct-15 18:33,12.61,894,11273.34
22-Oct-15 18:32,14.43,219,3160.17
22-Oct-15 18:31,14.12,524,7398.88
22-Oct-15 18:30,9.24,972,8981.28
22-Oct-15 18:29,12.44,435,5411.40
22-Oct-15 18:28,12.04,826,9945.04
22-Oct-15 18:27,12.02,243,2920.86
22-Oct-15 18:26,12.72,365,4642.80
22-Oct-15 18:25,9.54,194,1850.76
22-Oct-15 18:24,10.71,421,4508.91
22-Oct-15 18:23,11.88,272,3231.36
